Device ID,Device Name,Battery Status (%),Device Temperature (°C),Event Logs,Connectivity Status,Alert Response Time (ms),Firmware Vulnerabilities,Calibration Status,Maintenance Status,Patient Criticality,Label,Attack Type,Protocol
ID4402,Ventilator,8,33.8,57,Disconnected,45,10,No,No,Medium,Compromised,DDoS,UDP
ID5938,Glucose Monitor,1,49.8,2,Poor,14,0,No,Yes,Low,Compromised,MITM,Wi-Fi
ID1635,Heart Rate Monitor,41,37.3,72,Poor,51,0,No,No,Low,Compromised,Spoofing,UDP
ID3856,Glucose Monitor,62,35.7,76,Disconnected,34,9,Yes,Yes,Medium,Normal,None,None
ID3119,Glucose Monitor,96,43.1,182,Disconnected,46,7,Yes,Yes,High,Compromised,MITM,Wi-Fi
ID8391,Patient Monitor,67,32.1,112,Good,59,2,Yes,No,Medium,Normal,None,None
ID6341,Infusion Pump,5,37.8,124,Disconnected,44,1,No,Yes,High,Compromised,Spoofing,Wi-Fi
ID9743,ECG Machine,62,38.6,57,Good,28,6,No,Yes,Medium,Normal,None,None
ID4995,Glucose Monitor,10,33.1,191,Good,48,3,No,No,Low,Normal,None,None
ID5749,Patient Monitor,32,39.9,55,Disconnected,21,8,No,Yes,Medium,Normal,None,None
ID3438,Heart Rate Monitor,26,47.8,192,Poor,37,10,No,Yes,Medium,Compromised,Spoofing,TCP
ID8984,Ventilator,10,43.0,20,Good,20,4,No,Yes,Medium,Normal,None,None
ID4833,ECG Machine,56,37.0,1,Disconnected,36,8,No,No,Low,Normal,None,None
ID3475,ECG Machine,45,41.3,4,Disconnected,31,1,Yes,No,Medium,Normal,None,None
ID6596,Heart Rate Monitor,38,34.0,116,Good,35,1,Yes,No,Medium,Normal,None,None
ID6870,Glucose Monitor,99,31.7,82,Poor,8,8,Yes,Yes,Medium,Normal,None,None
ID6772,Infusion Pump,40,32.9,131,Disconnected,9,9,Yes,No,High,Normal,None,None
ID2453,Patient Monitor,40,38.8,23,Disconnected,45,2,No,No,Medium,Compromised,DDoS,Bluetooth
ID2562,Heart Rate Monitor,45,49.8,79,Poor,7,9,No,No,Low,Compromised,MITM,UDP
ID1388,Glucose Monitor,89,43.8,20,Disconnected,8,2,No,No,Medium,Normal,None,None
ID6681,Infusion Pump,93,43.9,123,Good,52,0,No,Yes,Medium,Normal,None,None
ID4589,Patient Monitor,66,43.3,103,Poor,51,3,No,Yes,Medium,Compromised,MITM,Wi-Fi
ID5425,ECG Machine,51,39.7,79,Disconnected,22,0,No,Yes,High,Normal,None,None
ID7036,Glucose Monitor,52,43.6,154,Disconnected,44,10,No,No,Low,Compromised,Spoofing,TCP
ID7586,Patient Monitor,77,41.5,189,Disconnected,27,0,Yes,Yes,Medium,Normal,None,None
ID2814,Heart Rate Monitor,28,32.6,1,Good,26,4,Yes,No,High,Normal,None,None
ID7033,Glucose Monitor,81,42.8,184,Disconnected,13,2,Yes,No,High,Compromised,DDoS,UDP
ID6149,Patient Monitor,96,31.3,61,Disconnected,13,8,No,Yes,High,Normal,None,None
ID8958,Ventilator,69,30.0,100,Disconnected,19,0,No,Yes,Low,Normal,None,None
ID8968,Ventilator,76,31.6,183,Good,12,8,No,Yes,High,Compromised,MITM,Bluetooth
ID3883,Glucose Monitor,0,39.0,117,Good,18,7,Yes,Yes,Low,Compromised,DDoS,UDP
ID3713,ECG Machine,49,34.6,65,Good,13,10,No,Yes,Medium,Normal,None,None
ID8600,Heart Rate Monitor,32,49.5,59,Poor,26,9,No,No,High,Compromised,Spoofing,Wi-Fi
ID5886,ECG Machine,76,32.6,33,Disconnected,6,8,No,Yes,Low,Normal,None,None
ID8230,Ventilator,46,37.6,51,Poor,9,10,No,No,High,Normal,None,None
ID5654,Patient Monitor,47,43.0,166,Disconnected,37,7,Yes,No,Low,Normal,None,None
ID4747,Patient Monitor,63,40.0,49,Good,51,10,No,No,Medium,Compromised,MITM,TCP
ID4662,Patient Monitor,18,40.8,111,Good,12,10,Yes,Yes,Low,Compromised,MITM,Bluetooth
ID9474,Ventilator,27,41.2,77,Disconnected,5,7,No,Yes,Low,Normal,None,None
ID7686,Glucose Monitor,7,39.5,78,Disconnected,20,5,No,No,Medium,Compromised,Spoofing,UDP
ID9912,Glucose Monitor,28,48.7,10,Poor,9,0,No,Yes,High,Compromised,MITM,Wi-Fi
ID2830,Patient Monitor,38,44.5,144,Good,8,7,Yes,Yes,High,Normal,None,None
ID6589,Infusion Pump,11,42.8,2,Good,8,1,No,Yes,High,Normal,None,None
ID7133,Infusion Pump,21,31.4,177,Good,39,2,Yes,No,Medium,Normal,None,None
ID5378,ECG Machine,36,35.7,124,Poor,6,2,No,No,Low,Normal,None,None
ID7664,Ventilator,81,40.1,34,Disconnected,11,9,No,Yes,Low,Normal,None,None
ID4889,Heart Rate Monitor,36,45.5,198,Good,16,1,No,No,High,Compromised,MITM,TCP
ID3381,Infusion Pump,60,44.6,89,Disconnected,37,5,No,Yes,Low,Normal,None,None
ID1637,ECG Machine,25,45.0,25,Disconnected,56,0,Yes,No,High,Compromised,DDoS,Wi-Fi
ID2168,Heart Rate Monitor,83,34.4,100,Disconnected,59,5,Yes,Yes,Medium,Compromised,DDoS,Bluetooth
ID7936,Infusion Pump,65,37.0,46,Poor,19,5,Yes,No,High,Normal,None,None
ID1369,Glucose Monitor,40,48.2,141,Good,15,1,No,No,Medium,Normal,None,None
ID7044,Patient Monitor,13,33.9,99,Good,47,0,Yes,No,High,Normal,None,None
ID2453,Infusion Pump,56,46.0,121,Good,38,5,Yes,Yes,High,Normal,None,None
ID3843,Infusion Pump,61,39.9,45,Disconnected,13,3,No,No,Low,Normal,None,None
ID3312,Glucose Monitor,6,46.7,99,Poor,19,6,Yes,Yes,High,Compromised,MITM,TCP
ID7315,Heart Rate Monitor,2,43.5,84,Disconnected,42,6,Yes,No,Medium,Compromised,DDoS,Bluetooth
ID6291,Patient Monitor,5,30.5,51,Poor,8,2,No,Yes,High,Compromised,DDoS,Wi-Fi
ID9818,ECG Machine,77,39.6,43,Disconnected,58,0,Yes,No,Medium,Compromised,Spoofing,UDP
ID5021,Ventilator,80,46.5,44,Poor,32,8,Yes,No,Medium,Compromised,DDoS,Bluetooth
ID9688,Heart Rate Monitor,88,31.7,114,Disconnected,5,5,No,Yes,Low,Normal,None,None
ID9594,Ventilator,43,47.8,51,Good,19,4,No,No,High,Normal,None,None
ID1846,Infusion Pump,84,39.1,139,Disconnected,42,5,Yes,Yes,High,Compromised,MITM,Bluetooth
ID2736,Patient Monitor,94,40.8,177,Disconnected,18,7,No,No,Low,Normal,None,None
ID1854,Patient Monitor,1,39.6,126,Poor,38,0,No,No,High,Compromised,Spoofing,Bluetooth
ID4803,Infusion Pump,24,45.9,132,Good,12,3,Yes,Yes,Medium,Normal,None,None
ID8111,Ventilator,43,31.6,32,Poor,60,1,Yes,Yes,Medium,Compromised,DDoS,UDP
ID3605,Glucose Monitor,55,43.6,98,Disconnected,52,1,Yes,Yes,Low,Compromised,MITM,Bluetooth
ID2778,Patient Monitor,56,36.5,76,Disconnected,57,0,Yes,No,High,Compromised,DDoS,Wi-Fi
ID8937,ECG Machine,82,33.1,34,Disconnected,13,0,No,No,Low,Normal,None,None
ID8182,Ventilator,20,46.4,109,Disconnected,5,2,No,No,High,Compromised,DDoS,UDP
ID8190,Heart Rate Monitor,7,38.4,27,Good,15,6,No,No,Medium,Compromised,DDoS,TCP
ID1669,ECG Machine,100,41.5,193,Disconnected,28,0,Yes,No,Medium,Normal,None,None
ID9588,Ventilator,85,34.0,69,Disconnected,8,8,No,No,Low,Normal,None,None
ID7835,Glucose Monitor,26,32.1,64,Disconnected,55,6,Yes,Yes,Low,Compromised,DDoS,UDP
ID7665,Heart Rate Monitor,43,38.8,79,Disconnected,25,5,Yes,Yes,Medium,Normal,None,None
ID7530,Patient Monitor,95,32.5,137,Good,5,8,No,Yes,Low,Normal,None,None
ID5618,Infusion Pump,83,36.5,79,Good,43,1,Yes,Yes,Low,Normal,None,None
ID7700,ECG Machine,84,34.7,40,Disconnected,59,9,No,Yes,Medium,Compromised,DDoS,UDP
ID2165,Infusion Pump,88,38.7,198,Poor,11,8,Yes,No,Low,Normal,None,None
ID9379,Patient Monitor,31,41.0,163,Good,35,9,Yes,No,Low,Normal,None,None
ID7318,Ventilator,83,37.0,19,Disconnected,52,2,Yes,Yes,Medium,Compromised,DDoS,Bluetooth
ID6787,Patient Monitor,62,32.3,90,Poor,7,0,No,No,High,Normal,None,None
ID3272,Infusion Pump,100,32.1,39,Poor,14,5,No,No,High,Normal,None,None
ID7995,ECG Machine,4,43.9,132,Good,58,7,Yes,Yes,Medium,Compromised,Spoofing,TCP
ID1108,Heart Rate Monitor,76,36.1,126,Disconnected,34,5,Yes,Yes,High,Normal,None,None
ID1585,Ventilator,89,46.2,67,Good,48,1,No,Yes,Medium,Normal,None,None
ID8422,ECG Machine,53,41.3,36,Good,16,6,Yes,Yes,Medium,Normal,None,None
ID6701,Glucose Monitor,87,36.7,26,Good,56,3,Yes,No,High,Normal,None,None
ID1415,Patient Monitor,37,44.1,189,Poor,11,1,No,Yes,Low,Normal,None,None
ID6843,Ventilator,90,45.4,5,Poor,55,2,No,Yes,Medium,Compromised,Spoofing,Bluetooth
ID1677,Ventilator,23,40.9,61,Poor,60,4,Yes,No,High,Compromised,Spoofing,TCP
ID6394,ECG Machine,6,32.3,70,Poor,32,2,Yes,Yes,Medium,Compromised,MITM,Bluetooth
ID8700,Patient Monitor,21,44.4,164,Good,39,2,Yes,Yes,High,Normal,None,None
ID4848,Ventilator,52,37.3,187,Disconnected,44,7,Yes,Yes,High,Compromised,DDoS,Wi-Fi
ID2587,Glucose Monitor,88,34.5,46,Poor,44,2,Yes,Yes,Low,Compromised,MITM,UDP
ID1462,ECG Machine,57,31.9,52,Good,43,9,Yes,Yes,High,Compromised,MITM,Wi-Fi
ID4316,Infusion Pump,31,45.1,199,Good,29,7,No,No,Medium,Compromised,MITM,Bluetooth
ID7691,Infusion Pump,21,38.4,173,Poor,16,1,Yes,Yes,High,Normal,None,None
ID1584,Ventilator,74,32.9,195,Disconnected,31,3,Yes,No,High,Compromised,Spoofing,Bluetooth
ID5820,ECG Machine,51,31.9,170,Good,7,9,Yes,Yes,Low,Normal,None,None
ID6446,ECG Machine,23,36.1,182,Good,7,5,No,Yes,High,Compromised,Spoofing,Bluetooth
ID5753,Heart Rate Monitor,66,39.4,104,Good,11,3,Yes,No,High,Normal,None,None
ID1289,Heart Rate Monitor,91,34.7,49,Poor,7,10,No,Yes,High,Normal,None,None
ID5329,Patient Monitor,40,44.2,33,Poor,39,6,Yes,No,Low,Normal,None,None
ID7612,Patient Monitor,9,44.9,41,Good,16,2,No,Yes,Low,Normal,None,None
ID9791,ECG Machine,24,48.0,172,Poor,19,8,No,No,Low,Compromised,MITM,Bluetooth
ID7679,Patient Monitor,9,36.5,119,Poor,45,5,No,No,High,Compromised,DDoS,Bluetooth
ID5312,ECG Machine,93,39.4,60,Disconnected,8,8,No,Yes,High,Normal,None,None
ID4964,Glucose Monitor,82,32.2,8,Good,24,5,Yes,Yes,High,Normal,None,None
ID9940,Glucose Monitor,54,33.2,75,Poor,9,5,Yes,No,Low,Normal,None,None
ID8010,Glucose Monitor,52,47.1,200,Poor,44,9,Yes,No,Medium,Compromised,DDoS,UDP
ID5259,Ventilator,54,48.5,128,Good,37,1,No,No,High,Normal,None,None
ID7993,Patient Monitor,98,30.3,151,Good,59,6,No,No,Low,Compromised,MITM,Bluetooth
ID3887,Ventilator,90,49.9,171,Disconnected,47,8,Yes,No,Medium,Compromised,DDoS,UDP
ID6973,Heart Rate Monitor,6,32.0,149,Disconnected,47,9,Yes,Yes,Medium,Compromised,Spoofing,UDP
ID9908,ECG Machine,59,33.4,183,Poor,49,10,No,Yes,Medium,Compromised,MITM,Wi-Fi
ID4620,Ventilator,54,35.4,88,Good,43,0,No,Yes,Low,Normal,None,None
ID5309,Heart Rate Monitor,14,43.8,48,Disconnected,60,10,No,Yes,Medium,Compromised,Spoofing,UDP
ID8659,Ventilator,53,45.8,37,Poor,15,9,Yes,Yes,Medium,Compromised,Spoofing,UDP
ID8478,Patient Monitor,7,38.5,130,Poor,25,3,No,No,Medium,Compromised,Spoofing,TCP
ID7960,ECG Machine,35,33.4,62,Poor,33,1,Yes,Yes,Medium,Normal,None,None
ID3831,Infusion Pump,26,37.5,44,Good,24,10,Yes,Yes,High,Normal,None,None
ID4009,Infusion Pump,33,47.5,130,Good,60,8,No,No,High,Compromised,DDoS,Bluetooth
ID5943,Glucose Monitor,17,31.1,104,Poor,30,7,Yes,Yes,High,Compromised,DDoS,UDP
ID1805,Infusion Pump,82,31.2,166,Good,28,0,Yes,Yes,High,Normal,None,None
ID1473,Infusion Pump,75,38.0,77,Good,21,3,No,No,Low,Normal,None,None
ID4489,Ventilator,2,46.4,65,Good,12,9,Yes,Yes,Low,Compromised,DDoS,UDP
ID4737,Infusion Pump,40,41.6,67,Disconnected,50,2,No,Yes,High,Compromised,DDoS,Wi-Fi
ID6385,Patient Monitor,8,42.6,148,Poor,38,2,Yes,Yes,Medium,Compromised,DDoS,Bluetooth
ID6093,Heart Rate Monitor,5,30.5,124,Disconnected,30,10,Yes,No,Low,Compromised,DDoS,TCP
ID7912,Glucose Monitor,19,35.4,139,Good,59,4,Yes,No,Low,Normal,None,None
ID2985,Patient Monitor,81,32.6,156,Good,15,9,Yes,No,Low,Normal,None,None
ID1131,Glucose Monitor,83,49.4,94,Poor,9,10,Yes,No,High,Compromised,DDoS,Bluetooth
ID8483,ECG Machine,50,40.0,2,Disconnected,19,3,Yes,No,Low,Normal,None,None
ID2249,Infusion Pump,32,48.1,135,Poor,10,10,No,No,Medium,Compromised,Spoofing,TCP
ID5517,Ventilator,43,30.6,153,Good,53,10,Yes,No,Medium,Compromised,MITM,Bluetooth
ID1510,Heart Rate Monitor,47,36.2,170,Good,57,4,Yes,No,Low,Normal,None,None
ID7663,Infusion Pump,32,31.3,139,Poor,16,1,Yes,No,Low,Normal,None,None
ID3758,Ventilator,42,46.1,188,Good,26,8,No,Yes,Low,Compromised,Spoofing,UDP
ID3765,Ventilator,37,33.9,140,Poor,47,9,Yes,No,Low,Compromised,Spoofing,UDP
ID2399,Glucose Monitor,61,36.1,17,Poor,6,9,No,Yes,Medium,Normal,None,None
ID1734,Heart Rate Monitor,21,36.1,43,Disconnected,38,4,No,Yes,Low,Normal,None,None
ID8572,Glucose Monitor,62,45.1,134,Disconnected,29,6,Yes,No,Medium,Compromised,DDoS,UDP
ID5951,Infusion Pump,83,46.6,96,Poor,23,3,No,Yes,Medium,Compromised,Spoofing,Wi-Fi
ID6525,Patient Monitor,31,46.1,189,Disconnected,17,4,Yes,Yes,Medium,Compromised,MITM,TCP
ID7364,Ventilator,12,30.6,61,Poor,40,1,Yes,No,High,Compromised,Spoofing,Bluetooth
ID2453,Heart Rate Monitor,12,45.4,145,Good,20,0,No,Yes,Low,Normal,None,None
ID7885,Ventilator,54,36.1,163,Poor,12,2,No,No,Low,Normal,None,None
ID2028,ECG Machine,29,46.3,100,Poor,52,2,No,Yes,Low,Compromised,Spoofing,TCP
ID3345,ECG Machine,33,30.4,56,Disconnected,26,6,Yes,Yes,Low,Normal,None,None
ID2172,Infusion Pump,88,39.3,159,Good,21,3,Yes,No,Low,Normal,None,None
ID2926,Heart Rate Monitor,14,31.2,188,Good,10,10,No,Yes,Medium,Compromised,Spoofing,Bluetooth
ID9571,Ventilator,66,39.0,4,Poor,37,4,No,No,Low,Normal,None,None
ID1815,Ventilator,8,37.5,53,Poor,57,3,Yes,No,Low,Compromised,MITM,UDP
ID9150,Patient Monitor,88,31.8,171,Poor,28,6,Yes,Yes,Low,Normal,None,None
ID9314,Patient Monitor,96,36.9,7,Good,27,3,No,No,Low,Normal,None,None
ID9382,Glucose Monitor,76,42.4,68,Good,19,0,No,No,Medium,Normal,None,None
ID8929,Heart Rate Monitor,17,49.3,156,Disconnected,52,4,Yes,No,High,Compromised,MITM,Wi-Fi
ID3090,Heart Rate Monitor,55,40.5,76,Poor,20,10,Yes,Yes,High,Normal,None,None
ID9962,Heart Rate Monitor,45,39.5,166,Good,42,10,No,No,Low,Compromised,MITM,Wi-Fi
ID4547,ECG Machine,70,32.0,129,Disconnected,51,7,No,Yes,Low,Compromised,MITM,Bluetooth
ID6006,Heart Rate Monitor,82,32.4,64,Good,21,9,No,No,High,Normal,None,None
ID2783,Heart Rate Monitor,34,32.2,116,Disconnected,59,4,Yes,Yes,Medium,Compromised,Spoofing,Bluetooth
ID2495,Patient Monitor,26,34.0,139,Poor,53,4,Yes,No,High,Compromised,DDoS,Wi-Fi
ID2868,ECG Machine,52,49.0,52,Disconnected,46,2,No,Yes,Low,Compromised,MITM,Wi-Fi
ID2642,Glucose Monitor,98,38.8,155,Disconnected,31,4,No,Yes,High,Compromised,MITM,Bluetooth
ID6507,Patient Monitor,15,32.7,157,Disconnected,48,10,Yes,Yes,Low,Compromised,Spoofing,Wi-Fi
ID1006,Infusion Pump,31,43.0,147,Good,50,2,Yes,Yes,Low,Normal,None,None
ID8651,ECG Machine,70,32.9,40,Poor,21,8,No,Yes,Low,Normal,None,None
ID7961,Heart Rate Monitor,75,39.9,155,Poor,16,4,No,Yes,Medium,Normal,None,None
ID8312,Infusion Pump,35,32.0,94,Poor,9,8,No,Yes,Medium,Normal,None,None
ID6038,Infusion Pump,87,37.3,164,Disconnected,55,3,Yes,No,Low,Compromised,Spoofing,UDP
ID8204,ECG Machine,18,44.8,35,Disconnected,14,6,No,Yes,Medium,Compromised,DDoS,UDP
ID5345,Heart Rate Monitor,35,41.9,27,Disconnected,36,1,No,No,High,Normal,None,None
ID6586,Heart Rate Monitor,74,30.0,197,Poor,25,10,Yes,Yes,Medium,Normal,None,None
ID8760,Ventilator,58,39.5,69,Poor,25,8,Yes,No,Medium,Normal,None,None
ID1331,ECG Machine,64,43.3,173,Poor,12,9,Yes,Yes,Low,Normal,None,None
ID5789,Patient Monitor,80,30.9,149,Poor,27,5,No,No,Low,Normal,None,None
ID2816,Heart Rate Monitor,25,37.7,123,Disconnected,22,10,No,No,Low,Normal,None,None
ID4045,Glucose Monitor,46,44.9,86,Poor,37,10,Yes,No,Low,Normal,None,None
ID1092,Heart Rate Monitor,32,36.5,67,Poor,15,10,Yes,No,Medium,Normal,None,None
ID3550,Ventilator,97,42.2,148,Poor,21,7,Yes,Yes,High,Normal,None,None
ID3739,Infusion Pump,28,46.9,121,Poor,18,0,No,Yes,Low,Compromised,MITM,TCP
ID6842,Patient Monitor,34,31.7,62,Poor,31,2,Yes,Yes,High,Normal,None,None
ID1921,Heart Rate Monitor,46,39.9,96,Poor,8,3,Yes,No,High,Normal,None,None
ID7218,Heart Rate Monitor,13,33.9,32,Poor,33,0,No,No,Medium,Compromised,Spoofing,Wi-Fi
ID7995,Glucose Monitor,31,45.0,131,Poor,10,10,No,No,Low,Normal,None,None
ID1381,Infusion Pump,22,30.0,109,Disconnected,20,5,Yes,Yes,Low,Normal,None,None
ID2848,Patient Monitor,73,32.0,139,Poor,23,8,No,Yes,Low,Normal,None,None
ID8790,Patient Monitor,62,35.2,13,Poor,12,5,Yes,No,Medium,Normal,None,None
ID4558,Patient Monitor,29,47.4,42,Poor,22,7,No,Yes,Medium,Compromised,Spoofing,TCP
ID6010,Infusion Pump,3,32.9,29,Disconnected,10,0,No,No,High,Compromised,Spoofing,Bluetooth
ID8432,Heart Rate Monitor,64,46.5,62,Poor,30,10,No,No,Low,Compromised,MITM,Wi-Fi
ID2793,Glucose Monitor,42,49.9,3,Poor,45,5,No,No,High,Compromised,MITM,Wi-Fi
ID7709,ECG Machine,64,44.0,4,Poor,43,10,No,No,High,Compromised,DDoS,Wi-Fi
ID2469,Ventilator,37,43.1,100,Disconnected,43,4,Yes,No,Medium,Compromised,Spoofing,Bluetooth
ID8795,Glucose Monitor,61,31.3,175,Good,29,5,No,Yes,High,Compromised,DDoS,Wi-Fi
ID5867,ECG Machine,96,37.6,43,Disconnected,42,0,No,Yes,High,Compromised,Spoofing,Wi-Fi
ID4868,Patient Monitor,33,33.2,10,Disconnected,27,0,Yes,No,High,Normal,None,None
ID7407,Heart Rate Monitor,94,35.9,190,Poor,25,9,Yes,Yes,High,Normal,None,None
ID3088,Infusion Pump,30,45.8,81,Poor,14,5,Yes,No,Medium,Compromised,DDoS,UDP
ID8067,ECG Machine,80,41.3,84,Disconnected,13,3,Yes,Yes,Low,Normal,None,None
ID4673,Glucose Monitor,8,38.3,145,Disconnected,14,2,No,No,Low,Compromised,MITM,UDP
ID4602,Glucose Monitor,27,37.3,139,Good,30,3,No,Yes,Medium,Normal,None,None
ID5232,Ventilator,88,47.8,60,Disconnected,43,3,No,No,High,Compromised,Spoofing,UDP
ID4305,Infusion Pump,50,47.6,147,Poor,38,1,No,No,Low,Compromised,Spoofing,TCP
ID4843,ECG Machine,49,32.7,184,Disconnected,35,7,No,No,High,Compromised,Spoofing,UDP
ID4692,Patient Monitor,36,44.0,18,Disconnected,18,2,No,No,High,Normal,None,None
ID1446,Infusion Pump,55,48.0,135,Poor,21,6,Yes,No,Medium,Compromised,MITM,TCP
ID4860,Ventilator,69,46.6,199,Poor,8,7,No,No,Low,Compromised,DDoS,UDP
ID4833,Glucose Monitor,90,33.6,59,Poor,5,8,No,No,High,Normal,None,None
ID7013,ECG Machine,85,32.5,6,Disconnected,15,6,Yes,Yes,Medium,Normal,None,None
ID3516,Infusion Pump,73,47.4,82,Good,54,8,Yes,Yes,High,Compromised,DDoS,Bluetooth
ID3474,Infusion Pump,2,40.9,100,Poor,49,5,Yes,No,High,Compromised,DDoS,Bluetooth
ID7873,Heart Rate Monitor,97,47.4,175,Poor,25,9,Yes,No,Low,Compromised,MITM,Wi-Fi
ID8098,Glucose Monitor,13,38.5,130,Good,36,4,Yes,Yes,Medium,Normal,None,None
ID2338,Infusion Pump,43,34.1,107,Disconnected,7,4,No,No,Low,Normal,None,None
ID7713,Ventilator,60,31.3,23,Poor,33,5,Yes,No,Low,Normal,None,None
ID5648,Patient Monitor,25,44.1,114,Good,56,6,Yes,Yes,High,Compromised,MITM,Wi-Fi
ID5820,Glucose Monitor,53,36.3,56,Poor,10,3,Yes,Yes,Low,Normal,None,None
ID9601,Ventilator,64,33.1,21,Poor,57,0,No,Yes,High,Compromised,MITM,Wi-Fi
ID9215,Glucose Monitor,2,46.5,88,Disconnected,55,6,Yes,Yes,Low,Compromised,DDoS,Wi-Fi
ID3545,Glucose Monitor,10,30.6,51,Poor,22,7,Yes,No,Medium,Compromised,Spoofing,UDP
ID6302,Patient Monitor,24,39.1,89,Disconnected,58,10,No,No,High,Compromised,Spoofing,Wi-Fi
ID9535,Patient Monitor,40,35.9,63,Poor,18,5,Yes,No,High,Normal,None,None
ID8878,Heart Rate Monitor,89,39.8,150,Disconnected,56,10,No,Yes,Low,Compromised,Spoofing,TCP
ID8223,Glucose Monitor,6,44.2,178,Disconnected,19,6,No,Yes,High,Compromised,Spoofing,UDP
ID3077,ECG Machine,61,33.9,22,Poor,58,3,No,No,Medium,Compromised,Spoofing,Bluetooth
ID9607,Heart Rate Monitor,56,39.5,11,Good,50,7,Yes,No,High,Compromised,DDoS,UDP
ID9658,Infusion Pump,47,38.4,189,Disconnected,53,9,No,No,Medium,Compromised,Spoofing,UDP
ID3835,Patient Monitor,62,43.2,54,Good,57,3,Yes,Yes,Low,Normal,None,None
ID8738,Infusion Pump,34,35.3,31,Disconnected,50,7,No,No,Low,Compromised,MITM,UDP
ID1833,Ventilator,27,31.6,115,Disconnected,14,10,No,Yes,Medium,Normal,None,None
ID7773,Heart Rate Monitor,1,46.5,38,Disconnected,41,7,No,No,Low,Compromised,Spoofing,Wi-Fi
ID5492,Infusion Pump,99,35.4,12,Good,23,0,Yes,Yes,Low,Normal,None,None
ID1849,Heart Rate Monitor,14,42.6,138,Poor,42,9,Yes,Yes,Medium,Compromised,DDoS,Bluetooth
ID5614,ECG Machine,9,40.7,61,Poor,31,5,Yes,No,Low,Compromised,MITM,Bluetooth
ID2315,Infusion Pump,94,46.4,179,Good,53,0,Yes,No,High,Compromised,MITM,TCP
ID8968,Heart Rate Monitor,24,37.1,125,Disconnected,7,10,Yes,No,Low,Normal,None,None
ID8787,Ventilator,86,35.2,112,Disconnected,45,6,Yes,No,Low,Compromised,MITM,Wi-Fi
ID2822,ECG Machine,60,35.2,138,Poor,50,7,Yes,Yes,Low,Compromised,Spoofing,Bluetooth
ID3449,Glucose Monitor,91,33.9,105,Disconnected,46,2,Yes,Yes,Low,Compromised,DDoS,Wi-Fi
ID1312,Heart Rate Monitor,34,42.3,17,Disconnected,21,5,Yes,Yes,High,Normal,None,None
ID5896,Patient Monitor,29,43.0,166,Good,40,6,No,Yes,Medium,Normal,None,None
ID2548,Infusion Pump,37,38.0,41,Poor,34,7,No,No,High,Normal,None,None
ID3690,ECG Machine,88,40.2,147,Good,22,9,Yes,No,Low,Normal,None,None
ID5249,Patient Monitor,47,49.2,77,Disconnected,15,1,No,No,High,Compromised,DDoS,Wi-Fi
ID5443,ECG Machine,24,33.3,103,Disconnected,34,6,Yes,Yes,Medium,Normal,None,None
ID9011,Infusion Pump,29,38.9,199,Poor,60,5,Yes,No,Medium,Compromised,DDoS,TCP
ID1593,Patient Monitor,57,39.7,160,Good,49,3,Yes,No,Medium,Normal,None,None
ID7745,Ventilator,82,30.3,59,Disconnected,19,7,No,No,Medium,Normal,None,None
ID4803,Glucose Monitor,14,39.2,80,Poor,24,3,Yes,Yes,Low,Compromised,DDoS,Bluetooth
ID1331,Glucose Monitor,59,47.1,138,Disconnected,52,8,Yes,No,High,Compromised,MITM,UDP
ID6352,ECG Machine,28,42.4,200,Poor,26,8,Yes,Yes,Medium,Normal,None,None
ID2034,Heart Rate Monitor,41,39.6,93,Poor,15,10,Yes,No,Medium,Normal,None,None
ID3330,Ventilator,51,33.0,38,Disconnected,43,8,Yes,Yes,Low,Compromised,Spoofing,Wi-Fi
ID7898,Patient Monitor,32,34.9,108,Good,50,10,No,No,Low,Compromised,DDoS,Wi-Fi
ID4172,Infusion Pump,2,35.7,102,Poor,38,9,Yes,No,Low,Compromised,Spoofing,TCP
ID8650,Heart Rate Monitor,94,43.7,55,Poor,9,9,Yes,Yes,Low,Normal,None,None
ID5012,ECG Machine,51,41.8,120,Good,57,7,Yes,No,Low,Compromised,MITM,TCP
ID7694,Ventilator,92,30.5,119,Poor,29,6,No,Yes,Medium,Normal,None,None
ID4250,Patient Monitor,37,47.8,112,Disconnected,45,8,Yes,No,Medium,Compromised,MITM,Bluetooth
ID6876,Glucose Monitor,71,44.6,119,Good,36,1,Yes,No,Low,Normal,None,None
ID1145,Infusion Pump,56,37.0,102,Disconnected,33,3,Yes,Yes,High,Normal,None,None
ID4876,Glucose Monitor,11,38.2,131,Poor,35,4,No,Yes,Medium,Compromised,Spoofing,Wi-Fi
ID9220,Infusion Pump,83,35.0,168,Disconnected,6,3,No,Yes,Low,Normal,None,None
ID9895,Ventilator,25,34.4,77,Good,31,4,No,No,Medium,Normal,None,None
ID9508,ECG Machine,82,33.3,98,Disconnected,18,0,Yes,No,Medium,Normal,None,None
ID5054,Patient Monitor,78,38.6,34,Disconnected,10,2,Yes,No,Low,Normal,None,None
ID2222,Ventilator,88,33.1,68,Good,52,9,No,Yes,High,Compromised,DDoS,Wi-Fi
ID6480,ECG Machine,30,38.9,77,Poor,28,9,No,Yes,High,Normal,None,None
ID1651,ECG Machine,23,48.4,150,Poor,37,1,Yes,Yes,Medium,Compromised,DDoS,UDP
ID1037,Glucose Monitor,60,37.8,155,Disconnected,32,7,No,No,Medium,Normal,None,None
